"","A4","B4","C4","F3","G3","H3"
"AAEL000152",0.952378108728167,0,4.88170367176471,5.07384266307593,1.62141330949342,1.92266722935068
"AAEL000154",0,0,0,0,0,0
"AAEL000157",0.884401806665451,1.12132239249738,0.813617278627451,5.68406545736601,2.83747329161349,6.60299848202124
"AAEL000159",12.6764258955381,17.5673841491256,12.6110678187255,31.2623600155131,27.1586729340148,33.0149924101062
"AAEL000162",0.884401806665451,0,2.03404319656863,0,0,0
"AAEL000163",9.72841987331996,8.97057913997902,5.69532095039216,42.2752368391597,34.8603861541086,35.3732061536852
"AAEL000164",20.0464409510836,31.3970269899266,19.1200060477451,44.406761385672,51.0745192490428,46.2209893741487
"AAEL000165",0,0,0,0.355254091085376,0.405353327373356,4.37482749204639
"AAEL000166",0.884401806665451,1.49509652332984,1.22042632474982,0.355254091085376,0.405353732726683,0.471642748715803
"AAEL000170",0.294800602221817,0,0.813617278627451,2.13152454651225,1.21605998212007,1.41492824614741
"AAEL000172",8.84401806665451,14.5771911024659,16.272345572549,22.3810077383787,23.915846315028,23.452094682186
"AAEL000173",2.94800602221817,4.11151543915705,2.03404319656863,20.2494831918664,12.1605998212007,8.01792672816864
"AAEL000174",0,0,1.6272345572549,0.710508182170751,0.405353327373356,0
"AAEL000175",20.0464409510836,41.8627026532354,41.0876725706863,135.351808703528,107.823985081313,110.836045948214
"AAEL000176",0,0,0,0,0.405353327373356,0.471642748715803
"AAEL000178",5.60121144221452,9.34435327081148,4.06808639313726,13.1444013701589,9.72847985696054,10.8477832204635
"AAEL000179",20.6360421555272,37.0036389524135,32.1378825057843,60.7484495755992,42.156746046829,70.7464123073704
"AAEL000180",9.43784081572196,10.8484655999511,9.36641581029961,37.6779700260534,28.39547038701,23.6335691342521
"AAEL000181",0.996938693757005,2.84569682674355,6.10212918289724,11.4626576337962,9.93607224044827,10.0316511931574
"AAEL000182",267.969525875008,190.242016787912,198.512798879014,325.3917110632,286.564064982087,256.050580854219
"AAEL000184",5.30641083999271,3.73774130832459,1.22042591794118,6.39457363953676,6.08029991060034,12.2627114666109
"AAEL000185",60.1393231480513,90.0795659043968,98.0408820746079,248.677863404509,167.410924205196,196.67502621449
"AAEL000186",18.5724379399745,21.6788995882826,6.50893822901961,8.52609818604901,7.70171322009376,6.60299848202124
"AAEL000187",0.294800602221817,1.8688706541623,2.08460381511437,2.842032728683,2.43211996424013,1.9343375575249
"AAEL000188",0.589601204443634,1.12132239249738,0.813617278627451,1.4210163643415,2.83747329161349,1.88657099486321
"AAEL000191",25.6476523932981,43.3577991765653,39.0536293741176,90.9450473178562,107.823985081313,88.1971940098551
"AAEL000193",5.60121144221452,17.9411586537322,11.3906414939757,23.7316972923407,21.0783730234145,20.2806381947795
"AAEL000194",10.612821974786,12.7083204483036,11.797450540098,87.037252315917,93.6366186232452,93.856906522802
"AAEL000195",0,0,0,0,0,0
"AAEL000196",0.294800602221817,0.747548261664918,0.406808639313726,0,0,0
"AAEL000199",4.71680963554907,8.97057913997902,5.69532095039216,55.774892300404,28.7800862435083,46.2209893741487
"AAEL000200",0.294800602221817,0,0.406808639313726,2.13152454651225,1.21605998212007,2.82985649229482
"AAEL000201",0,0.747548261664918,0.813617278627451,4.26304909302451,4.86423992848027,3.77314198972642
"AAEL000203",0,0,0,0,0,0
"AAEL000204",35.0812716643962,56.4398941294755,55.3259749466667,223.454823292701,242.401289769267,297.606574439671
"AAEL000206",9.72841987331996,8.97057913997902,19.1200060477451,75.3138673100996,66.072592361857,79.7076245329706
"AAEL000208",56.8965162288107,47.8430887465548,47.5966107997059,148.851464164772,139.036191289061,123.57040016354
"AAEL000210",6.48561324887998,9.71812740164394,8.54298142558824,18.4732127364395,26.7533196066415,17.9224244512005
