"","A4","B4","C4","F3","G3","H3"
"AAEL000762",0,0,0,1,0,0
"AAEL000769",0,0,0,0,0,0
"AAEL000770",36,37,55,102,68,77
"AAEL000776",0,0,1,0,2,0
"AAEL000780",0,0,2,0,0,1
"AAEL000781",1,0,0,4,0,2
"AAEL000782",8,14,8,35,18,21
"AAEL000785",10,8,9,29,19,18
"AAEL000786",0,0,1,2,0,2
"AAEL000787",2,4,1,5,7,4
"AAEL000788",2,1,0,2,3,4
"AAEL000791",53,36,27,85,68,58
"AAEL000793",0,1,0,0,0,28
"AAEL000795",916.990884,1353.974886,957.959056,1250.881375,1089.92345,896.962767
"AAEL000797",73,91,80,35,17,26
"AAEL000800",354.975126,374.984364,193,46,71,43.65949
"AAEL000801",0,0,0,0,0,0
"AAEL000802",23,30,37,92,89,86
"AAEL000803",1,0,0,0,0,0
"AAEL000804",3.009116,5.025114,7.040944,31.118625,19.07655,14.037233
"AAEL000805",10.099545,28.563134,22.275675,33,15.332394,20.787929
"AAEL000807",73,85,30,221,168,126
"AAEL000808",0,0,0,0,0,0
"AAEL000809",0,0,0,0,0,0
"AAEL000810",0,0,0,1,0,0
"AAEL000811",31,37,20,155,91,90
"AAEL000812",16,16,8,88,94,45
"AAEL000813",2,0,1,0,1,0
"AAEL000815",6,9,2,6,13,6
"AAEL000820",127,157,151,253,246,189
"AAEL000821",0,0,0,0,0,0
"AAEL000822",5,11,12,43,38,27
"AAEL000823",5382,6553,4573,4470,3610,2718
"AAEL000824",81,55,73,113,140,132
"AAEL000825",22.999973,32.999958,26.999966,130.999987,73.999755,51.999844
"AAEL000826",0,0,0,0,0,0
"AAEL000827",0,0,0,0,0,0
"AAEL000829",62,36,22,124,124,74
"AAEL000832",12.024874,8.015636,7,24,29,21.34051
"AAEL000833",2,0,1,1,1,1
"AAEL000834",1,1,6,5,2,7
"AAEL000835",0,0,0,0,0,0
"AAEL000836",3,6,3,20,14,9
"AAEL000837",0,0,0,0,0,1
"AAEL000839",7,3,7,27,19,16
"AAEL000840",395.999999,349,497,595,526,403
"AAEL000842",30,17,19,0,2,1
"AAEL000843",0,0,0,0,0,0
"AAEL000844",6,12,3,25,21,24
"AAEL000845",256.999999,275,247,196,210.999999,193.000001
"AAEL000846",0,0,0,0,0,0
"AAEL000847",147,117,99,276,245,178
"AAEL000849",0,0,0,0,0,0
"AAEL000850",0,1,1,1,2,1
"AAEL000851",204,154,173,212,333,219
"AAEL000852",26.984264,19.987852,11.992807,109.983667,73.924671,36.964292
"AAEL000853",0,0,3.229934,0,3.943489,0
"AAEL000854",133,118,94,292,267,199
"AAEL000855",0,0,0,0,0,0
"AAEL000856",20,32,14,24,31,29
"AAEL000857",3,3,4,13,9,10
"AAEL000859",11314,4755,9191,3962,4056,1989
"AAEL000860",5,6.000001,0.999999,35.000001,5,8.007811
"AAEL000861",307,252,165,1885,1590,1381
"AAEL000863",74,78,140,122,149,98
